SP,oracle_table_fullname,hive_table_fullname,partition_col,need_collection
cf_busimg.P_COCKPIT_ANALYSE_TOP_DATA,CF_BUSIMG.T_COCKPIT_CLIENT_ANALYSE_TOP,ddw.T_COCKPIT_CLIENT_ANALYSE_TOP,"busi_week,busi_year",否
,cf_busimg.t_ctp_branch_oa_rela,ddw.t_ctp_branch_oa_rela,,是
cf_busimg.P_COCKPIT_ANAL_LINE_TOP_DATA,CF_BUSIMG.T_COCKPIT_CLIENT_ANAL_LINE_TOP,ddw.T_COCKPIT_CLIENT_ANAL_LINE_TOP,"busi_week,busi_year",否
,CF_BUSIMG.T_OA_BRANCH,ddw.T_OA_BRANCH,,是
cf_busimg.P_COCKPIT_RESPONS_TOP_DATA,CF_BUSIMG.T_COCKPIT_CLIENT_RESPONS_TOP,ddw.T_COCKPIT_CLIENT_RESPONS_TOP,"busi_week,busi_year",否
cf_busimg.P_COCK_BUSI_ANAL_TARGET_Y_DATA,CF_BUSIMG.T_COCKPIT_BUSI_ANAL_TARGET_Y,ddw.T_COCKPIT_BUSI_ANAL_TARGET_Y,busi_year,否
,CF_BUSIMG.T_BUSI_ANAL_TARGET_TYPE,ddw.T_BUSI_ANAL_TARGET_TYPE,,是
cf_busimg.P_COCK_BUSI_ANAL_TARGET_Q_DATA,CF_BUSIMG.T_COCKPIT_BUSI_ANAL_TARGET_Q,ddw.T_COCKPIT_BUSI_ANAL_TARGET_Q,"busi_year,busi_quarter",否
cf_busimg.P_COCKPIT_BUSI_ANA_LINE_D_DATA,CF_BUSIMG.T_COCKPIT_BUSI_ANALYSE_LINE_D,ddw.T_COCKPIT_BUSI_ANALYSE_LINE_D,busi_year,否
,CF_BUSIMG.T_business_line,ddw.T_business_line,,是
cf_busimg.P_COCKPIT_BUSI_ANA_LINE_M_DATA,CF_BUSIMG.T_COCKPIT_BUSI_ANALYSE_LINE_M,ddw.T_COCKPIT_BUSI_ANALYSE_LINE_M,busi_month,否
cf_busimg.P_COCKPIT_BUSI_ANAL_RESPONS_M,cf_busimg.t_cockpit_industry_manage,ddw.t_cockpit_industry_manage,,否
cf_busimg.P_COCKPIT_BUSI_ANAL_RESPONS_D,CF_BUSIMG.T_COCKPIT_BUSI_ANAL_RESPONS_D,ddw.T_COCKPIT_BUSI_ANAL_RESPONS_D,busi_date,否
,CF_BUSIMG.t_Respons_Line,ddw.t_Respons_Line,,是
cf_busimg.P_COCKPIT_BUSI_ANAL_TAR_LINE_Q,CF_BUSIMG.T_COCKPIT_BUSI_ANAL_TAR_LINE_Q,ddw.T_COCKPIT_BUSI_ANAL_TAR_LINE_Q,"busi_year,busi_quarter",否
cf_busimg.P_COCKPIT_BUSI_ANA_TOP_PD_DATA,CF_BUSIMG.T_COCKPIT_BUSI_ANALYSE_TOP_PD,ddw.T_COCKPIT_BUSI_ANALYSE_TOP_PD,busi_month,否
cf_busimg.P_COCKPIT_BUSI_ANALYSE_D_DATA,CF_BUSIMG.T_COCKPIT_BUSI_ANALYSE_D,ddw.T_COCKPIT_BUSI_ANALYSE_D,busi_date,否
cf_busimg.P_COCKPIT_BUSI_ANALYSE_M_DATA,CF_BUSIMG.T_COCKPIT_BUSI_ANALYSE_M,ddw.T_COCKPIT_BUSI_ANALYSE_M,busi_month,否
 cf_busimg.P_COCKPIT_CLIENT_ANALYSE_DATA,CF_BUSIMG.T_COCKPIT_CLIENT_ANALYSE,ddw.T_COCKPIT_CLIENT_ANALYSE,busi_month,否
,CF_BUSIMG.tmp_COCKPIT_CLIENT_jgx,ddw.tmp_COCKPIT_CLIENT_jgx,,否
,CTP63.T_DS_ADM_INVESTOR_VALUE,ods.T_DS_ADM_INVESTOR_VALUE,,是
,CTP63.T_DS_ADM_BROKERDATA_DETAIL,ods.T_DS_ADM_BROKERDATA_DETAIL,,是
,CF_CRMMG.T_HIS_LABEL_CLIENT,ods.T_crmmg_HIS_LABEL_CLIENT,,是
,cf_crmmg.t_label,ods.t_crmmg_label,,是
futures.p_hync65_account_balance,futures.t_hync65_account_voucher,edw.h16_hync65_account_voucher,,否
,futures.tmp_account_balance1,DDW.tmp_account_balance1,,否
,futures.t_account_info,edw.h16_account_info,,否
cf_busimg.P_COCKPIT_CLIENT_LINE_DATA,CF_BUSIMG.T_COCKPIT_CLIENT_ANALYSE_LINE,ddw.T_COCKPIT_CLIENT_ANALYSE_LINE,busi_month,否
cf_busimg.P_COCKPIT_CLIENT_RESPONS_DATA,CF_BUSIMG.T_COCKPIT_CLIENT_ANAL_RESPONS,ddw.T_COCKPIT_CLIENT_ANAL_RESPONS,busi_month,否
CF_BUSIMG.P_BRP_06008_FGG_DATA_HY,cf_busimg.tmp_trade_date,ddw.tmp_trade_date,,否
,Cf_Cspmg.t_Csperson_Fee,ods.t_Cspmg_Csperson_Fee,,是
,cf_busimg.tmp_brp_06008_done,ddw.tmp_brp_06008_done,,否
,cf_busimg.tmp_brp_06008_clear,ddw.tmp_brp_06008_clear,,否
,cf_busimg.tmp_brp_06008_rpt1,ddw.tmp_brp_06008_rpt1,,否
,CF_STAT.T_RPT_06008,ddw.T_RPT_06008,n_busi_date,否
,CF_BUSIMG.TMP_06008_1,ddw.TMP_06008_1,,否
CF_BUSIMG.P_BRP_06009_data_fgg_hy,CF_STAT.T_CLIENT_SETT_DATA,ddw.T_CLIENT_SETT_DATA,busi_date_during,否
CF_BUSIMG.P_BRP_06010_D_DATA,cf_busimg.tmp_brp_06010_hold,ddw.tmp_brp_06010_hold,,否
,cf_busimg.tmp_brp_06010_hold_fee,ddw.tmp_brp_06010_hold_fee,,否
,cf_busimg.tmp_brp_06010_done,ddw.tmp_brp_06010_done,,否
,cf_busimg.tmp_brp_06010_deliv,ddw.tmp_brp_06010_deliv,,否
,cf_busimg.tmp_brp_06010_execute,ddw.tmp_brp_06010_execute,,否
,CF_BUSIMG.TMP_BRP_06010,ddw.TMP_BRP_06010,,否
,cf_stat.t_rpt_06010,ddw.t_rpt_06010,busi_date,否
CF_BUSIMG.p_Brp_06010_data,cf_busimg.TMP_06010_SECURITY,ddw.TMP_06010_SECURITY,,否
,CF_STAT.T_TRADE_SUM_DATA,ddw.T_TRADE_SUM_DATA,busi_date_during,否
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
